model,rmse_train,rmse_test,mae_train,mae_test,r2_train,r2_test,split,test_size,random_state
Ordinary Least Squares,8.330857994168685e-17,1.2172059780218715e-16,6.191628406563373e-17,9.863142049125274e-17,1.0,1.0,chronological,0.2,42
Ridge (alpha=1.0),0.0015534590571651646,0.001600374209791045,0.0011785328103036266,0.001249158588144445,0.9998372937309586,0.9998044165205758,chronological,0.2,42
Lasso (alpha=0.0001),0.00019414023031609671,0.00020925882497165255,0.00015182541911506705,0.0001640652402456041,0.9999974588181515,0.9999966560741044,chronological,0.2,42
