loss,mae,val_loss,val_mae
0.18705865740776062,0.36793795228004456,0.10971550643444061,0.2727777361869812
0.046555981040000916,0.17320670187473297,0.06574390083551407,0.1891688108444214
0.030177948996424675,0.14145870506763458,0.04781774431467056,0.1619797646999359
0.018919264897704124,0.10760421305894852,0.03352593258023262,0.12863405048847198
0.017687689512968063,0.10117344558238983,0.025448808446526527,0.11414454132318497
0.011826102621853352,0.08442573994398117,0.020920714363455772,0.10804213583469391
0.009072520770132542,0.07226952910423279,0.01749947853386402,0.09856905788183212
0.008137918077409267,0.06951992213726044,0.013784246519207954,0.08474930375814438
0.007728935685008764,0.06698460876941681,0.01197346393018961,0.07719790935516357
0.006433046422898769,0.0630013570189476,0.010902045294642448,0.07446537911891937
0.0060018859803676605,0.05782163888216019,0.009964297525584698,0.07346753031015396
0.005303593818098307,0.05663149803876877,0.008886571042239666,0.07028067111968994
0.0043913936242461205,0.05192500725388527,0.00838281400501728,0.06789427995681763
0.005538126453757286,0.05564310401678085,0.007721694186329842,0.065268374979496
0.0044270651414990425,0.04830588027834892,0.007705559488385916,0.0655454471707344
0.003753454890102148,0.046204909682273865,0.006794807966798544,0.05949448049068451
0.0034211270976811647,0.043872248381376266,0.006655419245362282,0.05908527225255966
0.0036160661838948727,0.04785202443599701,0.006610937416553497,0.06018175557255745
0.003479029517620802,0.04497133567929268,0.006558654829859734,0.059755031019449234
0.0030056890100240707,0.04208690673112869,0.006012388505041599,0.055078499019145966
0.002998479874804616,0.041756775230169296,0.006008617114275694,0.056590523570775986
0.0029345026705414057,0.04070373252034187,0.00564730865880847,0.05387606844305992
0.0030306854750961065,0.04192723333835602,0.005675383377820253,0.053449153900146484
0.002881416352465749,0.04032573848962784,0.00551737193018198,0.05262431129813194
0.0024326066486537457,0.03692948818206787,0.005218006204813719,0.05070959031581879
0.002189460676163435,0.037176817655563354,0.005191797856241465,0.04940755292773247
0.0024117373395711184,0.03574655205011368,0.00498272106051445,0.04716775566339493
0.002234746003523469,0.03450525179505348,0.004942092578858137,0.04880391061306
0.0023946771398186684,0.037417974323034286,0.004770863335579634,0.047701720148324966
0.0019894796423614025,0.034554436802864075,0.004635131452232599,0.047565966844558716
0.0016322842566296458,0.03212727606296539,0.004473197273910046,0.0462912991642952
0.001933042542077601,0.033363740891218185,0.004350556060671806,0.045671265572309494
0.0017805505776777864,0.03272458165884018,0.004079367034137249,0.04440527409315109
0.0015172421699389815,0.030244478955864906,0.003961920738220215,0.04422876238822937
0.0015379786491394043,0.03161250054836273,0.00412742281332612,0.0445401594042778
0.0019524700473994017,0.032924238592386246,0.0039573656395077705,0.04292888939380646
0.0019136926857754588,0.03293028101325035,0.003922498319298029,0.04384181275963783
0.0015907085034996271,0.030500780791044235,0.00391997629776597,0.044726818799972534
0.0015066666528582573,0.028105393052101135,0.0036729860585182905,0.043109118938446045
0.001538577489554882,0.028373781591653824,0.0037928400561213493,0.04560145363211632
0.001443285495042801,0.028817161917686462,0.003425653325393796,0.04184545949101448
0.0015736344503238797,0.028410211205482483,0.0033387504518032074,0.041419435292482376
0.0011899154633283615,0.025758933275938034,0.003264995524659753,0.040294211357831955
0.0009770296746864915,0.02419552020728588,0.003461363259702921,0.04285837709903717
0.0014868197031319141,0.02662050910294056,0.003181514795869589,0.03984123840928078
0.0011865888955071568,0.02663602866232395,0.003416541963815689,0.04163496196269989
0.001250673201866448,0.025757210329174995,0.003104236675426364,0.03938549757003784
0.0012555115390568972,0.025284798815846443,0.0029980300460010767,0.038438085466623306
0.0013115671463310719,0.027430640533566475,0.0029458601493388414,0.03864055871963501
0.0012291589519008994,0.026101481169462204,0.002939028199762106,0.038451939821243286
0.00108898407779634,0.024461351335048676,0.0030313250608742237,0.03914396092295647
0.0017865716945379972,0.03000643476843834,0.0032863819506019354,0.04268234595656395
0.0009704509866423905,0.024356259033083916,0.0029165977612137794,0.038815874606370926
0.0010557707864791155,0.024282582104206085,0.003074829699471593,0.04169166833162308
0.0010282517177984118,0.024194519966840744,0.002695234026759863,0.03731120377779007
0.0010823487536981702,0.024290122091770172,0.0028142661321908236,0.03928826376795769
0.0015205673407763243,0.027191488072276115,0.0028384176548570395,0.03898546099662781
0.0009513709810562432,0.023255130276083946,0.002608763286843896,0.0365276038646698
0.0010369366500526667,0.02451021783053875,0.0031013560947030783,0.04313051700592041
0.0014778701588511467,0.02976568043231964,0.0025366521440446377,0.03597550839185715
0.0015980959869921207,0.02911585010588169,0.0025527772959321737,0.036163121461868286
0.001080543384887278,0.024171194061636925,0.002403413178399205,0.03536680340766907
0.0010079389903694391,0.024790987372398376,0.0023299986496567726,0.035118211060762405
0.001216414151713252,0.023653926327824593,0.002340370323508978,0.03483502194285393
0.0006482681492343545,0.01919981651008129,0.002287895418703556,0.03377746045589447
0.0006878855638206005,0.018804816529154778,0.002167763886973262,0.034047096967697144
0.0011658971197903156,0.022218620404601097,0.0023456744384020567,0.03745892271399498
0.0009985403157770634,0.023241836577653885,0.0021392640192061663,0.03439083695411682
0.0009515609126538038,0.024941863492131233,0.00216582790017128,0.03514406830072403
0.0010975395562127233,0.02373107150197029,0.001978926593437791,0.03338748216629028
0.0008353064185939729,0.021438486874103546,0.002230444923043251,0.036286234855651855
0.000992726651020348,0.019937889650464058,0.0022476990707218647,0.03482739254832268
0.0007490813732147217,0.01982601173222065,0.002155784284695983,0.034286294132471085
0.0006846821052022278,0.01932375133037567,0.0019880072213709354,0.03237846493721008
0.0010345426853746176,0.020708497613668442,0.0019736564718186855,0.032035499811172485
0.0006498723523691297,0.018885768949985504,0.002118124160915613,0.03472626954317093
0.0007991824531927705,0.020731743425130844,0.0021093739196658134,0.034860316663980484
0.0007619058596901596,0.01999724842607975,0.0018460118444636464,0.030421925708651543
0.0008843247196637094,0.0223460141569376,0.0021463362500071526,0.03622587025165558
0.0008415873744525015,0.021813619881868362,0.001889693085104227,0.031356148421764374
0.0008215436828322709,0.021855872124433517,0.0019017265876755118,0.03145351633429527
0.0010203218553215265,0.02343403361737728,0.002248572651296854,0.038983575999736786
0.0005622072494588792,0.018044238910079002,0.0018298644572496414,0.030645543709397316
0.0007660803967155516,0.0195122379809618,0.0018719823565334082,0.032456621527671814
0.0010701927822083235,0.022920778021216393,0.0016899738693609834,0.02987588569521904
0.0007540970691479743,0.020488403737545013,0.0019321778090670705,0.0336005873978138
0.0007982784300111234,0.02181265316903591,0.001887763850390911,0.033426739275455475
