policy_id,policy_label,policy_description,anchor_poi_id,anchor_name,basis_week_start,basis_label,basis_level,anchor_crowd_signal,anchor_crowd_level,recommendation_count,top_alternative_poi_id,top_alternative_name,top3_alternative_poi_ids,top_alternative_score,top_crowd_relief,top_similarity,top_practicality,top_distance_to_anchor_km
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-03-08,Recent low week (2026-03-08),Low,0.37991035287199026,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.5105352181109494,0.2622,0.9167,0.8268,0.649
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-03-08,Recent low week (2026-03-08),Low,0.37991035287199026,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.6042077856766246,0.2622,0.9167,0.8268,0.649
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-03-08,Recent low week (2026-03-08),Low,0.37991035287199026,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.6933887563432976,0.2622,0.9167,0.8268,0.649
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.4718485728503488,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.5995794969463287,0.252,0.9167,0.8268,0.649
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.4718485728503488,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.5043641664705549,0.252,0.9167,0.8268,0.649
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.4718485728503488,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.5995794969463287,0.252,0.9167,0.8268,0.649
similarity_practicality_fixed,Similarity-practicality fixed policy,Places more emphasis on preserving the experience and geographic feasibility.,otm_N7294561685,Chora Mosque / Kariye Museum,2026-04-19,Recent medium week (2026-04-19),Medium,0.4718485728503488,Medium,1,otm_W136456159,Fethiye Mosque / Museum,"[""otm_W136456159""]",0.6903032305231004,0.252,0.9167,0.8268,0.649
implemented_dynamic,Implemented dynamic policy,Current demand-aware policy used in the app.,otm_W23236783,Galata Tower,2026-05-03,Latest modeled week (2026-05-03),High,0.7251877662989323,High,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.6167325564807913,0.3328,0.875,0.8036,0.737
crowd_heavy_fixed,Crowd-heavy fixed policy,Strongly prioritizes crowd relief in every period.,otm_W23236783,Galata Tower,2026-05-03,Latest modeled week (2026-05-03),High,0.7251877662989323,High,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.5389738557014846,0.3328,0.875,0.8036,0.737
balanced_fixed,Balanced fixed policy,Keeps crowd relief highest but gives more room to similarity and practicality.,otm_W23236783,Galata Tower,2026-05-03,Latest modeled week (2026-05-03),High,0.7251877662989323,High,5,otm_N6373080188,Nusretiye Clock Tower,"[""otm_N6373080188"", ""otm_W639302102"", ""otm_W263949143""]",0.6167325564807913,0.3328,0.875,0.8036,0.737
