model,feature,split_importance,gain_importance,gain_importance_normalized
LightGBM Regressor,trend_demand,633,26.33502527129758,0.6178465323186908
LightGBM Regressor,temp_max,358,8.342872152727068,0.19573228337694362
LightGBM Regressor,temp_avg,268,5.650669348671727,0.13257046182376117
LightGBM Regressor,temp_min,250,1.126999408437996,0.02644055470824019
LightGBM Regressor,precipitation,509,0.9350985607688926,0.021938365245350384
LightGBM Regressor,month,190,0.22780955435155192,0.005344644318172608
LightGBM Regressor,season,15,0.004659700047341175,0.0001093213120639292
LightGBM Regressor,is_holiday,5,0.0007602780024171807,1.783689677729675e-05
LightGBM Regressor,day_of_week,0,0.0,0.0
