poi_id,osm_name,osm_name_en,osm_category,osm_importance_score,otm_xid,otm_name,otm_kinds,otm_bucket,otm_query_area,otm_wikidata,distance_km,token_overlap_score,category_match,distance_score,combined_score
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,N415157637,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q763854,0.07193017786413129,0.3333333333333333,1,0.8801163702264478,0.613973916974071
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.0764640889833783,0.3333333333333333,1,0.8725598516943696,0.613582377509492
5113500256,Türk ve İslam Eserleri Müzesi,Turkish and Islamic Arts Museum,museum,0.8342378630190977,R8120955,Turk and Islamic Art Museum,"national_museums,cultural,museums,interesting_places",museum,"Sultanahmet, Istanbul",Q525939,0.015996634175987443,0.25,1,0.9733389430400209,0.601758522061915
25512790,Sultanahmet Meydanı,Sultan Ahmed Square,attraction,0.7760674446106873,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.08789446639312942,0.25,1,0.8535092226781176,0.5659840501305982
5108843109,Hacı Beşir Ağa Çeşmesi,,attraction,0.7769251346262946,W132277802,Firuz Ağa Mosque,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q2565317,0.15937264544322596,0.2,1,0.73437892426129,0.511287244527952
1661399,Fatih Camii,Fatih Mosque,attraction,0.5860897279107913,Q6045782,"İskender Pasha Mosque, Fatih","religion,mosques,interesting_places",attraction,"Eminonu, Istanbul",Q6045782,0.3769240348714364,0.3333333333333333,1,0.37179327521427263,0.4682239582613139
11867279469,Ayasofya Tarih ve Deneyim Müzesi,Hagia Sophia History and Experience Museum,museum,0.8343905890613934,R8120955,Turk and Islamic Art Museum,"national_museums,cultural,museums,interesting_places",museum,"Sultanahmet, Istanbul",Q525939,0.03825575821689077,0.0,1,0.9362404029718487,0.4674991596491015
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.03871269570340073,0.0,1,0.9354788404943322,0.462645458042816
1120852418,Örme Dikilitaş,The Walled Obelisk,historic,0.7727815775079241,N415157636,Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q588892,0.03590863607283135,0.0,1,0.9401522732119477,0.4623162260537793
109874498,Alman Çeşmesi,German Fountain,attraction,0.7910746890319853,W103953125,Tomb of Sultan Ahmet,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q80541,0.04707149294971791,0.0,1,0.9215475117504701,0.459494346840816
1377906859,Üçler Mescidi,,historic,0.7727022688342846,N415156590,The Walled Obelisk,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q742474,0.043401277561228954,0.0,1,0.9276645373979517,0.45918636123291634
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic,0.7956527541776205,Q475338,Great Palace of Constantinople,"palaces,architecture,historic_architecture,interesting_places,destroyed_objects",historic,"Sultanahmet, Istanbul",Q475338,0.05008022734914644,0.0,1,0.9165329544180892,0.45869851402228434
1120852417,Theodosius Dikilitaşı,Obelisk of Theodosius,historic,0.787757479192329,Q1152384,Palace of Daphne,"palaces,architecture,historic_architecture,interesting_places",historic,"Sultanahmet, Istanbul",Q1152384,0.05097389381200717,0.0,1,0.9150435103133214,0.45753662549756324
11867279469,Ayasofya Tarih ve Deneyim Müzesi,Hagia Sophia History and Experience Museum,museum,0.8343905890613934,N5113500256,Museum of Turkish and Islamic arts,"national_museums,cultural,museums,interesting_places",museum,"Sultanahmet, Istanbul",Q525939,0.06479839192210804,0.0,1,0.89200268012982,0.4564397289385943
5108843098,Cevri Kalfa Çeşmesi,,attraction,0.7839032672595759,W132277802,Firuz Ağa Mosque,"religion,mosques,interesting_places",attraction,"Sultanahmet, Istanbul",Q2565317,0.053003938133008834,0.0,1,0.9116601031116519,0.45630535250387055
8120955,İbrahim Paşa Sarayı,Ibrahim Pasha Palace,historic,0.8589147224356382,N415157637,Obelisk of Theodosius,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",historic,"Sultanahmet, Istanbul",Q763854,0.07246682458436911,0.0,1,0.8792219590260515,0.45569696200007664
18055570,Sultanahmet Camii,Blue Mosque,attraction,0.8079814929979688,Q3082387,Church of the Virgin of the Pharos,"religion,churches,interesting_places,other_churches",attraction,"Sultanahmet, Istanbul",Q3082387,0.06749815080387855,0.0,1,0.8875030819935358,0.45267391979818083
