date,trend_demand,temp_max,temp_min,temp_avg,precipitation,crowd_index,crowd_level,month,week_of_year,season_spring,season_summer,season_winter,weekofyear
2022-05-01,0.29288702928870297,18.6,11.028571428571428,0.45723172628304826,0.0034482758620689655,0.4829233773568522,High,5,17,True,False,False,17
2022-05-08,0.24267782426778245,16.45714285714286,9.257142857142856,0.39294971487817515,0.03586206896551724,0.4320514128042403,Medium,5,18,True,False,False,18
2022-05-15,0.15481171548117156,21.785714285714285,11.014285714285714,0.5292897874546398,0.0,0.43619279397697774,Medium,5,19,True,False,False,19
2022-05-22,0.16317991631799164,22.928571428571427,11.085714285714284,0.5583203732503887,0.06137931034482759,0.4368102080651469,Medium,5,20,True,False,False,20
2022-05-29,0.22175732217573224,26.67142857142857,15.971428571428572,0.7081389320891653,0.0496551724137931,0.5133893062318571,High,5,21,True,False,False,21
2022-06-05,0.12552301255230128,26.557142857142857,18.414285714285715,0.7314670813893209,0.0,0.4822016306929469,High,6,22,False,True,False,22
2022-06-12,0.10878661087866111,25.342857142857145,17.385714285714283,0.6962156557801971,0.1696551724137931,0.42932696769063106,Medium,6,23,False,True,False,23
2022-06-19,0.2092050209205021,24.928571428571427,17.9,0.7091757387247279,0.0034482758620689655,0.5166655769052556,High,6,24,False,True,False,24
2022-06-26,0.3263598326359833,25.74285714285714,17.728571428571428,0.7350959046137895,0.12620689655172415,0.5584673083917837,High,6,25,False,True,False,25
2022-07-03,0.2468619246861925,26.87142857142857,19.7,0.7703473302229136,0.09241379310344827,0.5360524027892807,High,7,26,False,True,False,26
2022-07-10,0.3054393305439331,27.3,20.0,0.7812337998963192,0.18068965517241378,0.5509518742063796,High,7,27,False,True,False,27
2022-07-17,0.17154811715481172,27.314285714285713,18.714285714285715,0.7729393468118195,0.007586206896551725,0.5161386212416413,High,7,28,False,True,False,28
2022-07-24,0.2677824267782427,29.214285714285715,18.7,0.8081907724209434,0.0020689655172413794,0.575934652011956,High,7,29,False,True,False,29
2022-07-31,0.28033472803347287,30.12857142857143,21.485714285714288,0.8574390876101607,0.010344827586206896,0.5953301247825432,High,7,30,False,True,False,30
2022-08-07,0.17991631799163182,29.0,21.8,0.8501814411612234,0.004827586206896551,0.5440470741028036,High,8,31,False,True,False,31
2022-08-14,0.6778242677824269,29.114285714285717,21.67142857142857,0.8465526179367548,0.1372413793103448,0.765429643410171,High,8,32,False,True,False,32
2022-08-21,0.2468619246861925,28.457142857142856,20.957142857142856,0.8252980819077242,0.17793103448275863,0.5354341800188618,High,8,33,False,True,False,33
2022-08-28,0.21757322175732222,28.485714285714288,22.25714285714286,0.8413685847589425,0.10482758620689654,0.5402316690649646,High,8,34,False,True,False,34
2022-09-04,0.35983263598326365,27.8,21.642857142857142,0.8227060653188181,0.09103448275862068,0.6085212410355532,High,9,35,False,False,False,35
2022-09-11,0.23012552301255232,25.457142857142856,18.02857142857143,0.7117677553136339,0.006896551724137931,0.5272137777555388,High,9,36,False,False,False,36
2022-09-18,0.29707112970711297,26.0,17.314285714285713,0.7195438050803524,0.09793103448275861,0.5448124994811105,High,9,37,False,False,False,37
2022-09-25,0.20502092050209209,19.642857142857142,12.714285714285714,0.5215137376879213,0.10482758620689654,0.4379990643160431,Medium,9,38,False,False,False,38
2022-10-02,0.10878661087866111,25.314285714285713,16.742857142857144,0.702954898911353,0.07655172413793103,0.44996943028515024,High,10,39,False,False,False,39
2022-10-09,0.25523012552301255,20.4,14.571428571428571,0.5624675997926387,0.05172413793103448,0.486010515113091,High,10,40,False,False,False,40
2022-10-16,0.17154811715481172,19.74285714285714,14.671428571428573,0.5484707102125452,0.08827586206896552,0.4326600992273763,Medium,10,41,False,False,False,41
2022-10-23,0.16317991631799164,18.057142857142857,11.171428571428573,0.46708138932089166,0.006896551724137931,0.42033506461043574,Medium,10,42,False,False,False,42
2022-10-30,0.22175732217573224,19.97142857142857,10.971428571428572,0.47952306894764124,0.0,0.4547355817721585,High,10,43,False,False,False,43
2022-11-06,0.12133891213389122,20.3,10.428571428571429,0.47693105235873506,0.013793103448275862,0.400990151084911,Medium,11,44,False,False,False,44
2022-11-13,0.19246861924686193,16.728571428571428,9.342857142857143,0.40124416796267504,0.0006896551724137932,0.41646962897775075,Medium,11,45,False,False,False,45
2022-11-20,0.1673640167364017,18.542857142857144,12.657142857142857,0.5028512182477967,0.09379310344827586,0.4157787531528847,Medium,11,46,False,False,False,46
2022-11-27,0.16317991631799164,14.885714285714284,9.771428571428572,0.3820632452047693,0.15724137931034482,0.36476065585835765,Medium,11,47,False,False,False,47
2022-12-04,0.13807531380753138,13.785714285714286,9.185714285714283,0.34473820632452046,0.05379310344827587,0.36170049811146665,Medium,12,48,False,False,True,48
2022-12-11,0.12552301255230128,15.1,9.314285714285717,0.37013996889580086,0.01586206896551724,0.37063108315178744,Medium,12,49,False,False,True,49
2022-12-18,0.21757322175732222,15.3,8.514285714285714,0.36547433903576976,0.2262068965517241,0.3731875332790472,Medium,12,50,False,False,True,50
2022-12-25,0.1673640167364017,10.6,3.9857142857142858,0.2026956972524624,0.03172413793103448,0.33814588995773265,Medium,12,51,False,False,True,51
2023-01-01,0.1589958158995816,12.1,4.8,0.2337998963193364,0.005517241379310345,0.34853442856972966,Medium,1,52,False,False,True,52
2023-01-08,0.0,11.242857142857144,4.585714285714286,0.21721099015033696,0.028275862068965513,0.259508124631308,Low,1,1,False,False,True,1
2023-01-15,0.10878661087866111,11.971428571428572,6.285714285714286,0.2566096423017107,0.034482758620689655,0.3244796464057058,Low,1,2,False,False,True,2
2023-01-22,0.1589958158995816,15.785714285714286,8.242857142857144,0.36547433903576976,0.01586206896551724,0.38596779586741825,Medium,1,3,False,False,True,3
2023-01-29,0.10460251046025106,9.414285714285716,5.442857142857143,0.2026956972524624,0.08620689655172414,0.2958685850955194,Low,1,4,False,False,True,4
2023-02-05,0.0,6.757142857142857,1.242857142857143,0.08761016070502853,0.13655172413793104,0.19897270338392237,Low,2,5,False,False,True,5
2023-02-12,0.1589958158995816,4.885714285714286,0.0428571428571429,0.023328149300155518,0.2006896551724138,0.2463584217053547,Low,2,6,False,False,True,6
2023-02-19,0.0,9.642857142857142,2.5428571428571423,0.15966822187662,0.00896551724137931,0.24610736311471015,Low,2,7,False,False,True,7
2023-02-26,0.10041841004184102,14.542857142857144,5.857142857142857,0.29808190772420945,0.020689655172413793,0.33549584630370055,Medium,2,8,False,False,True,8
2023-03-05,0.17991631799163182,12.457142857142856,7.3,0.27682737169517885,0.12068965517241378,0.3488684394698868,Medium,3,9,True,False,False,9
2023-03-12,0.10878661087866111,14.857142857142858,8.828571428571427,0.3545878693623639,0.2006896551724138,0.320631735213557,Low,3,10,True,False,False,10
2023-03-19,0.09623430962343096,10.55714285714286,6.114285714285714,0.23068947641264903,0.26275862068965516,0.26477227359757916,Low,3,11,True,False,False,11
2023-03-26,0.0,14.471428571428572,6.014285714285714,0.2742353551062728,0.11724137931034483,0.25882233066981286,Low,3,12,True,False,False,12
2023-04-02,0.14225941422594143,13.571428571428571,6.1000000000000005,0.28978745463970973,0.33586206896551724,0.2908935297117802,Low,4,13,True,False,False,13
2023-04-09,0.09623430962343096,14.971428571428572,7.685714285714285,0.31933644375324016,0.13241379310344828,0.31743532931699786,Low,4,14,True,False,False,14
2023-04-16,0.13807531380753138,15.971428571428572,9.642857142857142,0.39035769828926903,0.19586206896551722,0.346972552597443,Medium,4,15,True,False,False,15
2023-04-23,0.13807531380753138,16.871428571428574,9.585714285714284,0.3960601347848627,0.03793103448275862,0.3802694904426728,Medium,4,16,True,False,False,16
2023-04-30,0.10460251046025106,15.828571428571427,8.542857142857143,0.3789528252980819,0.2537931034482758,0.31522848212989496,Low,4,17,True,False,False,17
2023-05-07,0.12133891213389122,18.885714285714283,10.642857142857142,0.44790046656298593,0.1917241379310345,0.3566947684496345,Medium,5,18,True,False,False,18
2023-05-14,0.1757322175732218,16.442857142857143,10.085714285714284,0.40487299118714365,0.012413793103448275,0.40684524752206436,Medium,5,19,True,False,False,19
2023-05-21,0.20083682008368203,20.585714285714285,12.528571428571428,0.5194401244167963,0.1268965517241379,0.4308711370220523,Medium,5,20,True,False,False,20
2023-05-28,0.1673640167364017,20.442857142857143,13.971428571428572,0.552099533437014,0.05448275862068966,0.4384153166751671,Medium,5,21,True,False,False,21
2023-06-04,0.17991631799163182,22.52857142857143,15.985714285714286,0.6251944012441679,0.14896551724137932,0.4477233759207905,High,6,22,False,True,False,22
2023-06-11,0.10878661087866111,23.042857142857144,15.871428571428572,0.6350440642820114,0.0006896551724137932,0.4447685936894512,Medium,6,23,False,True,False,23
2023-06-18,0.43514644351464443,24.514285714285712,17.614285714285714,0.6832555728356662,0.06551724137931034,0.60944644533216,High,6,24,False,True,False,24
2023-06-25,0.3054393305439331,26.74285714285714,18.385714285714283,0.747019180922758,0.17586206896551723,0.5416530057556904,High,6,25,False,True,False,25
2023-07-02,0.12133891213389122,28.3,16.82857142857143,0.7677553136340072,0.013793103448275862,0.4882374294674926,High,7,26,False,True,False,26
2023-07-09,0.1673640167364017,29.571428571428573,20.74285714285714,0.8284085018144116,0.16758620689655174,0.498687317533214,High,7,27,False,True,False,27
2023-07-16,0.23849372384937242,31.742857142857144,20.285714285714285,0.8818040435458787,0.0020689655172413794,0.5833742818850015,High,7,28,False,True,False,28
2023-07-23,0.1757322175732218,32.385714285714286,21.285714285714285,0.9035769828926905,0.0013793103448275863,0.5586633415854525,High,7,29,False,True,False,29
2023-07-30,0.196652719665272,31.028571428571432,19.17142857142857,0.8579574909279419,0.004137931034482759,0.554886020904122,High,7,30,False,True,False,30
2023-08-06,0.29707112970711297,32.785714285714285,21.228571428571428,0.909279419388284,0.004137931034482759,0.6204918044631451,High,8,31,False,True,False,31
2023-08-13,0.25941422594142266,28.714285714285715,21.585714285714285,0.8299637117677554,0.023448275862068966,0.5740065713286242,High,8,32,False,True,False,32
2023-08-20,0.196652719665272,30.514285714285712,23.12857142857143,0.8797304302747537,0.0034482758620689655,0.5615558337426483,High,8,33,False,True,False,33
2023-08-27,0.41004184100418417,31.142857142857142,22.657142857142855,0.8859512700881285,0.0,0.6708063015285306,High,8,34,False,True,False,34
2023-09-03,0.18410041841004188,30.785714285714285,21.3,0.8652151373768793,0.05172413793103448,0.5412699228318778,High,9,35,False,False,False,35
2023-09-10,0.25104602510460255,27.542857142857144,21.071428571428573,0.7983411093831001,0.012413793103448275,0.5625425867465417,High,9,36,False,False,False,36
2023-09-17,0.20083682008368203,27.12857142857143,17.228571428571428,0.7288750648004148,0.0,0.5190809294819654,High,9,37,False,False,False,37
2023-09-24,0.1757322175732218,28.057142857142857,16.67142857142857,0.7335406946604459,0.0,0.5079283171847446,High,9,38,False,False,False,38
2023-10-01,0.1882845188284519,24.82857142857143,18.585714285714285,0.6977708657335409,0.38758620689655177,0.42595627775497785,Medium,10,39,False,False,False,39
2023-10-08,0.0,22.728571428571428,14.4,0.6054950751684811,0.02689655172413793,0.37626921220571674,Medium,10,40,False,False,False,40
2023-10-15,0.14225941422594143,21.428571428571427,12.171428571428573,0.536547433903577,0.004827586206896551,0.4311284200426645,Medium,10,41,False,False,False,41
2023-10-22,0.21338912133891214,20.685714285714287,14.4,0.5572835666148264,0.11586206896551725,0.4507072168608005,High,10,42,False,False,False,42
2023-10-29,0.16317991631799164,24.24285714285714,17.085714285714285,0.6744427164333853,0.0027586206896551726,0.48337104895108035,High,10,43,False,False,False,43
2023-11-05,0.17991631799163182,22.985714285714288,16.585714285714285,0.6448937273198547,0.1910344827586207,0.4452193806400482,High,11,44,False,False,False,44
2023-11-12,0.0,20.82857142857143,13.94285714285714,0.5593571798859513,0.1696551724137931,0.33387611948302676,Low,11,45,False,False,False,45
2023-11-19,0.12133891213389122,15.071428571428571,8.871428571428572,0.3815448418869881,1.0,0.17513290863304204,Low,11,46,False,False,False,46
2023-11-26,0.0,16.157142857142855,9.0,0.39917055469155,0.1296551724137931,0.29382013192470635,Low,11,47,False,False,False,47
2023-12-03,0.0,15.471428571428572,10.671428571428573,0.40953862104717476,0.3213793103448276,0.2585857242451869,Low,12,48,False,False,True,48
2023-12-10,0.2092050209205021,11.114285714285714,7.557142857142857,0.2623120787973043,0.19862068965517238,0.3435719961684079,Medium,12,49,False,False,True,49
2023-12-17,0.11297071129707115,12.685714285714283,6.571428571428571,0.2835666148263349,0.23241379310344829,0.29507258147574644,Low,12,50,False,False,True,50
2023-12-24,0.21757322175732222,12.657142857142857,4.785714285714286,0.2509072058061172,0.09517241379310346,0.3650242898618756,Medium,12,51,False,False,True,51
2023-12-31,0.12133891213389122,14.585714285714287,7.5,0.3286677034733023,0.0034482758620689655,0.3585801119365225,Medium,12,52,False,False,True,52
