xid,name,dist,rate,osm,wikidata,kinds,point,query_area,lat,lon,wikipedia,wikidata_detail,url,address,preview_source,town,suburb,country_code,wikipedia_extracts,display_name_en,category_clean,poi_id,source,dist_from_query_center_m,wikipedia_url,address_raw,is_obvious_noise,norm_name,lat_round,lon_round,dedupe_key,candidate_count_same_key,needs_review
W260976707,Türkiye İş Bankası Museum,206.91890418,2,way/260976707,Q6053818,"cultural,museums,interesting_places,other_museums","{'lon': 28.97260093688965, 'lat': 41.01609420776367}",Eminonu / Spice Bazaar,41.01609420776367,28.97260093688965,,,,,,,,,,Türkiye İş Bankası Museum,museum,otm_W260976707,opentripmap,206.91890418,,,False,turkiye is bankas museum,41.0161,28.9726,Q6053818,4,1
N5111212295,Türkiye İş Bankası Museum,228.5408834,2,node/5111212295,Q6053818,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities","{'lon': 28.971118927001953, 'lat': 41.014564514160156}",Eminonu / Spice Bazaar,41.014564514160156,28.971118927001953,,,,,,,,,,Türkiye İş Bankası Museum,museum,otm_N5111212295,opentripmap,228.5408834,,,False,turkiye is bankas museum,41.0146,28.9711,Q6053818,4,1
N5110345265,Türkiye İş Bankası Museum,235.17069907,2,node/5110345265,Q6053818,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities","{'lon': 28.97268295288086, 'lat': 41.015525817871094}",Eminonu / Spice Bazaar,41.015525817871094,28.97268295288086,,,,,,,,,,Türkiye İş Bankası Museum,museum,otm_N5110345265,opentripmap,235.17069907,,,False,turkiye is bankas museum,41.0155,28.9727,Q6053818,4,1
N5110344551,Kepenekci sinan camii,250.99613771,2,node/5110344551,Q106223671,"religion,other_temples,interesting_places","{'lon': 28.965862274169922, 'lat': 41.0178337097168}",Suleymaniye,41.0178337097168,28.965862274169922,,,,,,,,,,Kepenekci sinan camii,religious,otm_N5110344551,opentripmap,250.99613771,,,False,kepenekci sinan camii,41.0178,28.9659,Q106223671,2,1
W330348666,Category:Kepenekçi Sinan Madrasa,254.4025761,2,way/330348666,Q106223671,"religion,other_temples,interesting_places","{'lon': 28.965896606445312, 'lat': 41.017852783203125}",Suleymaniye,41.017852783203125,28.965896606445312,,,,,,,,,,Category:Kepenekçi Sinan Madrasa,religious,otm_W330348666,opentripmap,254.4025761,,,False,category kepenekci sinan madrasa,41.0179,28.9659,Q106223671,2,1
W165718178,Galata Dervish House Museum,264.00056931,2,way/165718178,Q6090478,"religion,other_temples,cultural,museums,interesting_places,other_museums","{'lon': 28.975114822387695, 'lat': 41.02801513671875}",Galata Tower,41.02801513671875,28.975114822387695,,,,,,,,,,Galata Dervish House Museum,museum,otm_W165718178,opentripmap,264.00056931,,,False,galata dervish house museum,41.028,28.9751,Q6090478,2,1
N4481947389,Galata Mevlevi House Museum,276.79297521,2,node/4481947389,Q6090478,"religion,other_temples,cultural,museums,interesting_places,other_museums","{'lon': 28.97443962097168, 'lat': 41.02819061279297}",Galata Tower,41.02819061279297,28.97443962097168,,,,,,,,,,Galata Mevlevi House Museum,museum,otm_N4481947389,opentripmap,276.79297521,,,False,galata mevlevi house museum,41.0282,28.9744,Q6090478,2,1
N5110347247,Türkiye İş Bankası Museum,418.23968988,2,node/5110347247,Q6053818,"cultural,museums,interesting_places,other_museums,banks,bank,tourist_facilities","{'lon': 28.974842071533203, 'lat': 41.01515197753906}",Eminonu / Spice Bazaar,41.01515197753906,28.974842071533203,,,,,,,,,,Türkiye İş Bankası Museum,museum,otm_N5110347247,opentripmap,418.23968988,,,False,turkiye is bankas museum,41.0152,28.9748,Q6053818,4,1
N8225587082,Feshane,520.10004876,2,node/8225587082,Q6059242,"architecture,historic_architecture,interesting_places,other_buildings_and_structures","{'lon': 28.937965393066406, 'lat': 41.0455436706543}",Eyup / Pierre Loti,41.0455436706543,28.937965393066406,,,,,,,,,,Feshane,historic,otm_N8225587082,opentripmap,520.10004876,,,False,feshane,41.0455,28.938,Q6059242,2,1
W240079129,Feshane,597.55371495,2,way/240079129,Q6059242,"architecture,historic_architecture,interesting_places,amusements,amusement_parks,other_buildings_and_structures","{'lon': 28.937536239624023, 'lat': 41.0440559387207}",Eyup / Pierre Loti,41.0440559387207,28.937536239624023,,,,,,,,,,Feshane,historic,otm_W240079129,opentripmap,597.55371495,,,False,feshane,41.0441,28.9375,Q6059242,2,1
