date,temp_max,temp_min,temp_avg,precipitation
2021-01-03,14.566666666666668,7.266666666666666,10.733333333333334,4.4
2021-01-10,14.314285714285715,8.571428571428571,11.471428571428572,40.1
2021-01-17,9.0,3.6571428571428575,6.071428571428571,63.8
2021-01-24,8.671428571428573,3.0285714285714285,5.885714285714286,2.7
2021-01-31,10.885714285714286,4.957142857142857,7.785714285714286,38.5
2021-02-07,14.957142857142857,7.385714285714286,10.814285714285715,4.8
2021-02-14,12.614285714285714,7.228571428571429,9.142857142857142,42.4
2021-02-21,4.514285714285714,-0.8,1.9571428571428573,12.2
2021-02-28,10.571428571428571,2.5714285714285716,6.571428571428571,0.2
2021-03-07,10.085714285714285,2.757142857142857,6.5,21.0
2021-03-14,10.742857142857144,2.7857142857142856,6.571428571428571,12.9
2021-03-21,10.585714285714285,5.6571428571428575,8.057142857142857,38.4
2021-03-28,9.171428571428573,3.1142857142857143,5.985714285714286,20.5
2021-04-04,12.1,5.271428571428571,8.757142857142856,6.8
2021-04-11,12.200000000000001,4.371428571428572,8.414285714285715,39.1
2021-04-18,14.971428571428573,7.871428571428572,10.799999999999999,10.2
2021-04-25,15.442857142857141,9.085714285714285,12.257142857142856,13.8
2021-05-02,20.714285714285715,10.742857142857142,15.200000000000001,0.8999999999999999
2021-05-09,22.099999999999998,13.042857142857143,17.385714285714286,6.1
2021-05-16,21.67142857142857,11.214285714285714,16.414285714285715,4.5
2021-05-23,21.97142857142857,14.071428571428571,17.857142857142858,35.4
2021-05-30,22.685714285714287,14.799999999999999,18.257142857142856,4.6
2021-06-06,19.7,13.285714285714286,16.6,25.8
2021-06-13,25.099999999999998,16.928571428571427,20.72857142857143,3.5
2021-06-20,21.585714285714285,15.914285714285715,18.642857142857142,65.5
2021-06-27,26.8,19.3,23.0,1.9
2021-07-04,28.414285714285715,20.357142857142858,24.24285714285714,23.0
2021-07-11,26.085714285714285,21.057142857142857,23.3,49.2
2021-07-18,29.342857142857145,22.3,25.5,0.0
2021-07-25,27.642857142857142,21.914285714285715,24.728571428571428,1.7
2021-08-01,32.17142857142857,21.514285714285712,26.428571428571427,0.0
2021-08-08,33.042857142857144,22.142857142857142,27.12857142857143,7.8
2021-08-15,28.82857142857143,20.142857142857142,24.47142857142857,2.8
2021-08-22,28.285714285714285,20.042857142857144,23.928571428571427,1.0
2021-08-29,30.342857142857145,21.571428571428573,25.428571428571427,0.0
2021-09-05,26.142857142857142,19.0,22.5,1.8
2021-09-12,24.057142857142857,17.47142857142857,20.52857142857143,10.200000000000001
