poi_id,name,name_en,category,category_clean,lat,lon,distance_to_center_km,nearby_count_500m,cluster_id,category_score,landmark_name_score,centrality_score,density_score,importance_score,is_park,is_historic,is_museum,is_attraction,is_religious,match_name,wiki_matched,wiki_title,wiki_pageid,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_popularity_score,importance_with_wiki
2472730735,Binbirdirek Sarnıcı,Cistern of Philoxenos,tourism:museum,museum,41.007606,28.9744173,0.3406526909370128,64,12,0.85,0.1,0.9962484486810024,0.9411764705882352,0.8041686522513595,0,0,1,0,0,Cistern of Philoxenos,True,Cistern of Philoxenos,16621019.0,54382.0,37.22245037645448,127.0,0.008470950055788141,0.5654593415926881
109836395,Sultan III. Murad Türbesi,Mausoleum of Sultan Murad III,historic:tomb,historic,41.0079049,28.9794475,0.093820825050066,56,12,0.82,0.35,0.999239998190217,0.8235294117647058,0.8041543523982415,0,1,0,0,1,Mausoleum of Sultan Murad III,True,Murad III,19989.0,1472685.0,1007.9979466119097,2327.0,0.22939651139914605,0.6317270000985129
5113620677,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,,historic:tomb,historic,41.0066904,28.9791454,0.1791343770306378,56,12,0.82,0.35,0.9982060161569826,0.8235294117647058,0.8038441577882711,0,1,0,0,1,Sahabe-i Kiramdan Abdurrahman Şami Türbesi,False,,,,,,0.0,0.5626909104517898
4990028128,Halı Müzesi,Carpet Museum,tourism:museum,museum,41.0087318,28.9809561,0.2224827887471177,53,12,0.85,0.35,0.9976806426630468,0.7794117647058824,0.8016571339753846,0,0,1,0,0,Carpet Museum,True,Museum of Carpet,62201527.0,2016.0,1.5987311657414751,296.0,0.00036383343172363084,0.5612691438122862
709381141,Sultan II. Selim Türbesi,Mausoleum of Sultan Selim II,historic:tomb,historic,41.0079253,28.979715,0.114491112477229,55,12,0.82,0.35,0.99898947872027,0.8088235294117647,0.8004027259690221,0,1,0,0,1,Mausoleum of Sultan Selim II,False,,,,,,0.0,0.5602819081783154
109836394,Sultan III. Mehmet Türbesi,Mausoleum of Sultan Mehmed III,historic:tomb,historic,41.0077754,28.9799026,0.1346328530913444,55,12,0.82,0.35,0.9987453651248378,0.8088235294117647,0.8003294918903925,0,1,0,0,1,Mausoleum of Sultan Mehmed III,True,Mehmed III,19990.0,1426405.0,976.3210130047912,83790.0,0.22218758990707374,0.6268869212953969
329062194,Sultan 2. Mahmut Türbesi,Mausoleum of Sultan Mahmud II,historic:tomb,historic,41.0084813,28.9725914,0.4883986340478596,55,12,0.82,0.35,0.9944577993982868,0.8088235294117647,0.7990432221724273,0,1,0,0,1,Mausoleum of Sultan Mahmud II,False,,,,,,0.0,0.559330255520699
4742554,Aya İrini Kilisesi,Hagia Irene,tourism:museum,museum,41.0098292,28.9809477,0.2802102704885338,54,12,0.85,0.3,0.9969809979107328,0.7941176470588235,0.7976237111379257,0,0,1,0,1,Hagia Irene,True,Hagia Irene,2969846.0,242261.0,165.8186173853525,367.0,0.0377363986514893,0.5696575173919948
1908677124,Milyon Taşı,Milion,historic:monument,historic,41.0080674,28.9780181,0.0352744539921519,64,12,0.82,0.1,0.999949567706192,0.9411764705882352,0.7962789879589164,0,1,0,0,0,Milion,True,Milion,13857311.0,67110.0,45.93429158110883,197.0,0.010453559233642423,0.5605313593413341
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic:building,historic,41.0065583,28.9772241,0.2075090013870377,64,12,0.82,0.1,0.9978621217685392,0.9411764705882352,0.7956527541776205,0,1,0,0,0,Sultan Ahmed Madrasah,False,,,,,,0.0,0.5569569279243343
