poi_id,otm_xid,name,display_name_en,kinds,category_clean,wikidata,wikipedia_url,lat,lon,query_area,dist_from_query_center_m,rate,address_raw,preview_image,source,needs_review,candidate_count_same_key,wiki_title,wiki_match_method,wiki_match_score,wiki_has_page,wiki_pageviews_total,wiki_pageviews_avg,wiki_pageviews_max,wiki_days_observed,wiki_popularity_score
otm_R4742554,R4742554,Hagia Irene,Hagia Irene,"religion,churches,cultural,museums,interesting_places,other_museums,other_churches",museum,Q736676,,41.00974655151367,28.98106384277344,Hagia Sophia / Basilica Cistern,217.06175579,3,,,opentripmap,0,1,Hagia Irene,search,1.0,1,64114.0,175.65479452054794,388.0,365,0.039643619234766975
otm_W206855035,W206855035,Hagia Triada Greek Orthodox Church,Hagia Triada Greek Orthodox Church,"religion,churches,interesting_places,other_churches",religious,Q5638730,,41.035587310791016,28.984235763549805,Istiklal / Pera,564.78879478,3,,,opentripmap,0,1,"Hagia Triada Church, Istanbul",search,0.5,1,39244.0,107.51780821917808,13376.0,365,0.024265748405171962
otm_W53602038,W53602038,Haidar Pasha Cemetery,Haidar Pasha Cemetery,"cemeteries,historic,burial_places,interesting_places",historic,Q5686262,,41.000709533691406,29.01869010925293,Kadikoy Historic Center,1263.60339156,3,,,opentripmap,0,1,Haydarpaşa Cemetery,search,0.25,1,2387.0,6.53972602739726,18.0,365,0.0014759540679631401
otm_N4169858237,N4169858237,Haldun Taner Stage,Haldun Taner Stage,"cultural,theatres_and_entertainments,interesting_places,other_theatres",attraction,Q15533769,,40.99259567260742,29.02425193786621,Kadikoy Historic Center,255.25413032,3,,,opentripmap,0,2,Kadıköy Haldun Taner Stage,search,0.75,1,768.0,2.10989010989011,11.0,364,0.00047487755517205347
otm_Q97368741,Q97368741,Halid Ağa Çeşmesi,Halid Ağa Çeşmesi,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q97368741,,40.9912109375,29.02802467346191,Kadikoy Historic Center,149.21715487,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_W59595672,W59595672,Harbiye Muhsin Ertuğrul Stage,Harbiye Muhsin Ertuğrul Stage,"cultural,theatres_and_entertainments,interesting_places,other_theatres",attraction,Q16892078,,41.04661178588867,28.988807678222656,Dolmabahce,1295.18003167,3,,,opentripmap,0,1,Harbiye Muhsin Ertuğrul Stage,search,1.0,1,485.0,1.3817663817663817,8.0,351,0.00029989012273235144
otm_Q105758760,Q105758760,Hasan Rıza Pasha Fountain,Hasan Rıza Pasha Fountain,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",historic,Q105758760,,40.98951721191406,29.027828216552734,Kadikoy Historic Center,200.38806755,3,,,opentripmap,0,1,Hızırbey Mosque Fountain,search,0.2,1,61.0,0.9682539682539683,8.0,63,3.771813914778029e-05
otm_N409151055,N409151055,Haydarpaşa Terminal,Haydarpaşa Terminal,"industrial_facilities,abandoned_railway_stations,interesting_places",attraction,Q800973,,40.99607467651367,29.017623901367188,Kadikoy Historic Center,929.02542596,3,,,opentripmap,0,1,Haydarpaşa,search,0.5,1,4074.0,11.161643835616438,37.0,365,0.0025190770309517522
otm_W695627910,W695627910,Hemdat Israel Sinagogu,Hemdat Israel Sinagogu,"religion,synagogues,interesting_places",religious,Q3409173,,40.99478530883789,29.027421951293945,Kadikoy Historic Center,441.60535872,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_W329234516,W329234516,Hirami Ahmet Pasha Mosque (St. John in Trullo),Hirami Ahmet Pasha Mosque (St. John in Trullo),"religion,mosques,churches,interesting_places,other_churches",religious,Q1572506,,41.02798843383789,28.94590950012207,Balat / Fener,371.08945635,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_Q3407358,Q3407358,Hodegon Monastery,Hodegon Monastery,"religion,monasteries,interesting_places",religious,Q3407358,,41.009029388427734,28.98503303527832,Topkapi Palace,310.59514169,3,,,opentripmap,0,1,Hodegon Monastery,search,1.0,1,3868.0,10.597260273972603,29.0,365,0.0023917010200592485
otm_N5112732265,N5112732265,II.  Bayezid Turkish Bath Culture Museum,II.  Bayezid Turkish Bath Culture Museum,"cultural,museums,interesting_places,other_museums",museum,Q68217803,,41.00994491577149,28.9615535736084,Suleymaniye,719.78703116,3,,,opentripmap,0,1,,,,0,0.0,0.0,0.0,0,0.0
otm_N6373152087,N6373152087,Ibrahim Pasha Palace,Ibrahim Pasha Palace,"palaces,architecture,historic_architecture,fortifications,historic,interesting_places,castles",historic,Q1655940,,41.005863189697266,28.972335815429688,Sultanahmet Core,379.08771912,3,,,opentripmap,0,1,Ibrahim Pasha Palace,search,1.0,1,4727.0,12.95068493150685,27.0,365,0.0029228466188779903
otm_N5524863624,N5524863624,Ihlamur Palace,Ihlamur Palace,"palaces,architecture,historic_architecture,interesting_places",historic,Q2330055,,41.05079650878906,28.999774932861328,Dolmabahce,1290.31586588,3,,,opentripmap,0,1,Ihlamur Pavilion,search,0.3333333333333333,1,3496.0,9.578082191780823,26.0,365,0.002161682204272785
otm_W335402651,W335402651,Imperial Mint,Imperial Mint,"other,unclassified_objects,interesting_places,tourist_object",attraction,Q6090328,,41.010467529296875,28.980379104614254,Topkapi Palace,271.20424925,3,,,opentripmap,0,2,Mint (candy),search,0.3333333333333333,1,36760.0,100.71232876712328,169.0,365,0.02272981631266235
