date,trend_demand,temp_max,temp_min,temp_avg,precipitation,crowd_index,crowd_level
2021-01-17,0.19753086419753088,9.0,3.6571428571428575,0.1565578019699326,0.43999999999999995,0.25773277268974526,Low
2021-01-24,0.0,8.671428571428573,3.0285714285714285,0.1498185588387766,0.018620689655172416,0.2412214297205985,Low
2021-01-31,0.0,10.885714285714286,4.957142857142857,0.21876620010368064,0.2655172413793103,0.21252641175524212,Low
2021-02-07,0.0,14.957142857142856,7.385714285714286,0.3286677034733023,0.03310344827586207,0.29197962138681827,Low
2021-02-14,0.0,12.614285714285714,7.228571428571429,0.2680145152928979,0.2924137931034483,0.2219215959671797,Low
2021-02-21,0.0,4.514285714285714,-0.8,0.007257646448937283,0.08413793103448275,0.18534970772778464,Low
2021-02-28,0.25308641975308643,10.571428571428571,2.571428571428572,0.17470191809227578,0.0013793103448275863,0.37867792323526045,Medium
2021-03-07,0.0,10.085714285714284,2.757142857142857,0.17210990150336963,0.14482758620689656,0.22266745320963158,Low
2021-03-14,0.0,10.742857142857144,2.7857142857142856,0.17470191809227578,0.08896551724137931,0.23461747197940688,Low
2021-03-21,0.0,10.585714285714284,5.6571428571428575,0.2286158631415241,0.26482758620689656,0.21561924170107793,Low
2021-03-28,0.0,9.171428571428573,3.1142857142857143,0.1534473820632452,0.1413793103448276,0.21775835255000806,Low
2021-04-04,0.0,12.1,5.271428571428571,0.2540176257128045,0.04689655172413793,0.26682597736901376,Low
2021-04-11,0.4876543209876544,12.2,4.371428571428572,0.24157594608605498,0.2696551724137931,0.46236890983688506,Medium
2021-04-18,0.0,14.971428571428572,7.871428571428572,0.328149300155521,0.07034482758620689,0.28437582452941496,Low
2021-04-25,0.0,15.44285714285714,9.085714285714284,0.3810264385692068,0.09517241379310346,0.29527344881214135,Low
2021-05-02,0.0,20.714285714285715,10.742857142857142,0.48781752203214096,0.006206896551724137,0.3451038772992975,Low
2021-05-09,0.0,22.1,13.042857142857144,0.5671332296526699,0.042068965517241375,0.36172617579235267,Medium
2021-05-16,0.0,21.67142857142857,11.214285714285714,0.5318818040435458,0.03103448275862069,0.3533576446613396,Medium
2021-05-23,0.0,21.97142857142857,14.071428571428571,0.5842405391394505,0.24413793103448275,0.3264445755349386,Low
2021-05-30,0.0,22.685714285714287,14.8,0.598755832037325,0.03172413793103448,0.3732819220249906,Medium
2021-06-06,0.617283950617284,19.7,13.285714285714286,0.5386210471747019,0.17793103448275863,0.6346420825645008,High
2021-06-13,0.0,25.1,16.928571428571427,0.6884396060134785,0.02413793103448276,0.40170429559714704,Medium
2021-06-20,0.0,21.585714285714285,15.914285714285716,0.6127527216174182,0.4517241379310345,0.2934809888990186,Low
2021-06-27,0.0,26.8,19.3,0.7708657335406945,0.013103448275862068,0.42863903040703594,Medium
2021-07-04,0.0,28.414285714285715,20.357142857142858,0.8159668221876619,0.1586206896551724,0.41306590872526405,Medium
2021-07-11,0.3024691358024692,26.085714285714285,21.057142857142857,0.7817522032141007,0.3393103448275862,0.5178981598999476,High
2021-07-18,0.617283950617284,29.342857142857145,22.3,0.8615863141524105,0.0,0.7671178695543652,High
2021-07-25,0.3209876543209877,27.642857142857142,21.914285714285715,0.833592534992224,0.011724137931034483,0.6082267600719542,High
2021-08-01,0.4135802469135803,32.17142857142857,21.514285714285712,0.8952825298081908,0.0,0.6753748823992474,High
2021-08-08,0.35185185185185186,33.042857142857144,22.142857142857142,0.9206842923794714,0.05379310344827586,0.6413725929501122,High
2021-08-15,0.2962962962962963,28.82857142857143,20.142857142857142,0.8242612752721616,0.019310344827586205,0.5915644617642793,High
2021-08-22,0.3209876543209877,28.285714285714285,20.042857142857144,0.8045619491964748,0.006896551724137931,0.6004831015746087,High
2021-08-29,0.0,30.342857142857145,21.571428571428573,0.8589942975635043,0.0,0.4576982892690513,Medium
2021-09-05,0.2654320987654321,26.142857142857142,19.0,0.7527216174183515,0.012413793103448275,0.5560497759875319,High
2021-09-12,0.0,24.057142857142857,17.47142857142857,0.6811819595645412,0.07034482758620689,0.390285622352121,Medium
2021-09-19,0.2777777777777778,26.0,17.514285714285712,0.7169517884914463,0.04413793103448276,0.5451468392294262,High
2021-09-26,0.5061728395061729,21.75714285714286,14.957142857142856,0.5997926386728876,0.08068965517241379,0.61688628032047,High
2021-10-03,0.308641975308642,19.585714285714285,14.885714285714286,0.5489891135303266,0.02206896551724138,0.5146039286099707,High
2021-10-10,0.2654320987654321,19.457142857142856,14.12857142857143,0.5225505443234837,0.04275862068965517,0.4809294885418301,High
2021-10-17,0.39506172839506176,20.357142857142858,14.228571428571428,0.5406946604458267,0.15655172413793103,0.5284289175036927,High
2021-10-24,0.2654320987654321,17.257142857142856,11.614285714285714,0.4520476931052358,0.042758620689655163,0.45977863317635576,Medium
2021-10-31,0.308641975308642,16.4,11.257142857142856,0.4193882840850182,0.006896551724137931,0.4787581625349989,Medium
2021-11-07,0.3024691358024692,18.82857142857143,12.671428571428573,0.49040953862104725,0.10758620689655173,0.47684018810823836,Medium
2021-11-14,0.3024691358024692,15.542857142857144,8.4,0.352514256091239,0.0496551724137931,0.4470578102458477,Medium
2021-11-21,0.19135802469135804,13.8,8.214285714285714,0.31726283048211507,0.004137931034482759,0.390030275283417,Medium
2021-11-28,0.0,14.771428571428572,9.542857142857144,0.3846552617936755,0.22620689655172416,0.2701551992277578,Low
2021-12-05,0.0,15.342857142857143,9.2,0.3810264385692068,0.2013793103448276,0.27403206950179654,Low
