poi_id,display_name_en,category_clean,query_area,lat,lon,has_direct_wiki_signal,exclude_from_part_b,is_mosque,is_church,is_synagogue,is_cathedral,is_palace,is_museum,is_monument,is_cemetery,is_fortress,is_tower,is_hamam,is_bridge,is_tekke_or_dergah,is_tomb,is_fountain,is_gate,subtype_flag_count,poi_weight_value,score_source,observed_proxy_score,predicted_proxy_score,final_proxy_score,score_model,score_confidence,date,city_demand_score,observed_city_crowd_index,city_crowd_level,trend_demand,temp_max,temp_min,temp_avg,precipitation,month,week_of_year,season_spring,season_summer,season_winter,is_holiday,crowdindex_poi,part_b_method,poi_crowd_rank_desc,poi_crowd_percentile_desc,poi_busyness_band,subtype_overlap_count,distance_to_anchor_km,is_quieter_than_anchor,crowd_relief_score,distance_score,subtype_similarity_score,recommendation_score,anchor_poi,anchor_date
otm_W136456159,Fethiye Mosque / Museum,museum,Balat / Fener,41.02914810180664,28.946388244628903,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0030219909469598,observed_wiki,7.135687347028144,8.090319476091567,7.135687347028144,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0027957356935572985,rf,241.0,0.8637992831541219,Low,3,3.6364900307209203,True,0.649034690540509,0.6805582460763953,1.0,0.7781772599585081,Hagia Sophia,2022-08-14
otm_N3580821812,Adam Mickiewicz Museum,museum,Istiklal / Pera,41.038780212402344,28.977148056030273,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0017931603366402,observed_wiki,4.23410650459726,6.793830351490946,4.23410650459726,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0016589071395000828,rf,279.0,1.0,Low,1,3.374798074314437,True,1.0,0.7046306066170666,0.3333333333333333,0.70759278799008,Hagia Sophia,2022-08-14
otm_N7294561685,Chora Mosque / Kariye Museum,museum,Balat / Fener,41.031097412109375,28.93909072875977,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0041947151421116,observed_wiki,9.904786708267748,9.55485112414264,9.904786708267748,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0038806584973077617,rf,48.0,0.17204301075268819,Very High,3,4.253738657589918,True,0.3140938886060284,0.6237791547613187,1.0,0.6160980808249765,Hagia Sophia,2022-08-14
otm_Q15961666,Ahmet Hamdi Tanpınar Literature Museum Library,museum,Hagia Sophia / Basilica Cistern,41.01097869873047,28.978269577026367,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0029556947793626,observed_wiki,6.97914527506881,8.68139585628631,6.97914527506881,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.002734403093509634,rf,251.0,0.899641577060932,Low,1,0.3112145380925322,True,0.6679694849550768,0.986441665860503,0.3333333333333333,0.6145412680685518,Hagia Sophia,2022-08-14
otm_W260976707,Türkiye İş Bankası Museum,museum,Eminonu / Spice Bazaar,41.01609420776367,28.97260093688965,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0029258841345608,observed_wiki,6.90875477931522,7.675660583434539,6.90875477931522,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.002706824359759887,rf,255.0,0.9121863799283154,Low,1,1.0479300595329903,True,0.6764836789295657,0.9186731265001393,0.3333333333333333,0.6048189474849991,Hagia Sophia,2022-08-14
otm_N5111212308,İşbank Museum,museum,Eminonu / Spice Bazaar,41.01616668701172,28.972620010375977,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0029258841345608,observed_wiki,6.90875477931522,7.716275466486556,6.90875477931522,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.002706824359759887,rf,254.0,0.9121863799283154,Low,1,1.0534866301920902,True,0.6764836789295657,0.9181619920575208,0.3333333333333333,0.6047167205964754,Hagia Sophia,2022-08-14
otm_W24533505,Orhan Kemal Museum,museum,Istiklal / Pera,41.03057861328125,28.98360824584961,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0027596327482937,observed_wiki,6.516193076042964,8.32105850894373,6.516193076042964,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0025530201482820503,rf,268.0,0.9605734767025089,Low,1,2.4727814171064257,True,0.7239666019128455,0.787604766328245,0.3333333333333333,0.5999725907930962,Hagia Sophia,2022-08-14
otm_N5115939964,The Museum of Turkish Calligraphic Art,museum,Suleymaniye,41.01005172729492,28.963180541992188,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0029233380116596,observed_wiki,6.902742737158593,7.8314528228005456,6.902742737158593,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0027044688640618505,rf,256.0,0.9175627240143369,Low,1,1.4224616078999723,True,0.6772108750169982,0.8842209461964329,0.3333333333333333,0.5982557496636024,Hagia Sophia,2022-08-14
otm_N5108828685,Basketmakers' Kiosk,museum,Topkapi Palace,41.01629638671875,28.981937408447266,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0030787105623865,observed_wiki,7.269616749608169,7.930213877917263,7.269616749608169,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0028482087340648476,rf,227.0,0.8136200716845878,Low,1,0.8811469133277346,True,0.6328350473891412,0.9340150731258283,0.3333333333333333,0.5882454526169458,Hagia Sophia,2022-08-14
otm_N3254396169,Yıldız Porcelain Factory,museum,Ortakoy,41.04828643798828,29.01881980895996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0024402508501064,observed_wiki,5.762051382780177,6.69128719814858,5.762051382780177,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0022575502450592737,rf,274.0,0.982078853046595,Low,1,5.492213201509786,True,0.8151850056470363,0.5098551115806631,0.3333333333333333,0.5854709415239656,Hagia Sophia,2022-08-14
otm_N5108828680,Istanbul Railway Museum,museum,Eminonu / Spice Bazaar,41.0152702331543,28.977020263671875,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0031923560840747,observed_wiki,7.537962659768208,7.993187934958402,7.537962659768208,rf,high,2022-08-14,0.9251304,0.9265175095189576,High,1.0,29.11428571428572,21.67142857142857,0.8465526179367548,0.1372413793103448,8,32,False,True,False,0,0.0029533456610024607,rf,208.0,0.7455197132616488,Medium,1,0.7927711543383622,True,0.6003768425291477,0.9421445286989417,0.3333333333333333,0.5752651515445715,Hagia Sophia,2022-08-14
