xid,name,query_area,wikidata,wikipedia_url,candidate_count_same_key,kinds,review_decision,canonical_name,notes
N5108843571,Zeynep Sultan Mosque,Hagia Sophia / Basilica Cistern,Q1153320,,2,"religion,mosques,interesting_places",,,
N5113500244,Cistern of Philoxenos,Sultanahmet Core,Q2728644,,5,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites",,,
N4516761894,Cistern of Binbirdirek (Philoxenos),Sultanahmet Core,Q2728644,,5,"historic,archaeology,interesting_places,other_archaeological_sites",,,
N4999341455,Binbirdirek,Sultanahmet Core,Q2728644,,5,"historic,archaeology,interesting_places,other_archaeological_sites",,,
N2472730735,Cistern of Philoxenos,Sultanahmet Core,Q2728644,,5,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites",,,
W214800348,Cistern of Philoxenos,Sultanahmet Core,Q2728644,,5,"historic,archaeology,interesting_places,other_archaeological_sites",,,
R7656706,Şehzade Mosque,Fatih / Valens Aqueduct,Q644677,,3,"religion,mosques,interesting_places",,,
N5243953336,Yavuz Sultan Selim Mosque,Balat / Fener,Q2565329,,3,"religion,mosques,interesting_places",,,
R7328115,Yavuz Sultan Selim Mosque,Balat / Fener,Q2565329,,3,"religion,mosques,interesting_places",,,
N6373152086,Cistern of Aspar,Balat / Fener,Q6076508,,3,"historic,archaeology,interesting_places,other_archaeological_sites",,,
N5113620695,Istanbul Museum of the History of Science and Technology in Islam,Topkapi Palace,Q16850295,,3,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums",,,
N4774162755,Museum of The History of Science and Technology in Islam,Topkapi Palace,Q16850295,,3,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums",,,
N4825753221,Istanbul museum of the history of science & technology in islamc,Topkapi Palace,Q16850295,,3,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums",,,
N4509065890,Şehzade Mosque,Fatih / Valens Aqueduct,Q644677,,3,"religion,mosques,interesting_places",,,
N6072311187,Theodosia Cistern,Sultanahmet Core,Q3150393,,2,"historic,archaeology,interesting_places,other_archaeological_sites",,,
N4509066089,Şehzade Mosque,Fatih / Valens Aqueduct,Q644677,,3,"religion,mosques,interesting_places",,,
N5973063786,Theodosius Cistern,Sultanahmet Core,Q3150393,,2,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites",,,
N5081445095,Yavuz Selim Mosque,Balat / Fener,Q2565329,,3,"religion,mosques,interesting_places",,,
N4512813092,Cistern of Aspar,Balat / Fener,Q6076508,,3,"historic,archaeology,interesting_places,other_archaeological_sites",,,
W401123337,Beylerbeyi Mosque,Beylerbeyi Palace,Q6845681,,3,"religion,mosques,interesting_places",,,
