poi_id,name,category,lat,lon,category_clean
269497288,Barbaros Hayrettin Türbesi,historic:memorial,41.0419227,29.0068359,historic
269709058,Kanburun Bahçesi,tourism:attraction,41.042587,29.0038953,attraction
288789401,Erbilgin Yalısı,tourism:attraction,41.1189172,29.0684191,attraction
288789412,Besteci Faik Canselen'in Evi,tourism:attraction,41.1188112,29.0641646,attraction
415157636,Yılanlı Sütun,tourism:attraction,41.0056649,28.9751101,attraction
554083364,Sabancı Üniversitesi Sakıp Sabancı Müzesi,tourism:museum,41.106019,29.0556289,museum
663391267,Çemberlitaş Hamamı,tourism:attraction,41.0085416,28.9716244,attraction
1026149714,Millî Egemenlik Parkı,leisure:park,41.0002134,28.8517727,park
1026149721,Siyavuşpaşa Kasrı,tourism:museum,41.0005858,28.8514348,museum
1037084486,Havacılık Müzesi,tourism:museum,40.9641579,28.8262655,museum
1346157990,Askerî Müze,tourism:museum,41.0488755,28.9882427,museum
1352425761,Miniatürk Açıkhava Müzesi,tourism:museum,41.059005,28.9490675,museum
1426032250,BJK 100 Yıl Kartal Heykeli,historic:monument,41.0435474,29.0041967,historic
1620494633,Hatice Turhan Sultan Türbesi,historic:monument,41.0162025,28.9719047,historic
1652694014,Magnaura Sarayı,historic:ruins,41.0054477,28.9796589,historic
1770612643,Osmanlı Bankası Müzesi,tourism:museum,41.0238356,28.9736169,museum
1807703751,Istanbul Photography Museum,tourism:museum,41.0046397,28.967754,museum
1900616737,Ancient Hippodrome Substructure,historic:archaeological_site,41.00408,28.9733493,historic
1908677124,Milyon Taşı,historic:monument,41.0080674,28.9780181,historic
2201717708,Pompeus Sütunu / Roke Kayalıkları,historic:ruins,41.23394,29.1157573,historic
2201720559,Rumeli Kavağı Tabyaları,historic:castle,41.1820279,29.0746658,historic
2278535412,Ancient Roman Ruins,historic:ruins,41.0010689,28.6905849,historic
2282062752,Büyükçekmece Kervansaray (Kurşunlu Han),historic:monument,41.0219982,28.5757305,historic
2329194003,Cumhuriyet Anıtı,historic:memorial,41.0369723,28.9851248,historic
2436912685,Sadun Oda Boro Heykeli,historic:memorial,40.9766053,29.0411538,historic
2437539073,Lefter Küçükandonyadis Heykeli,historic:memorial,40.9864334,29.0339763,historic
2437773517,Yunus Emre Heykeli,historic:memorial,40.9852779,29.0336422,historic
2437773604,Süreyya İlmen Heykeli,historic:memorial,40.9869314,29.0337289,historic
2446138465,Atatürk Anıtı,historic:memorial,40.980354,29.0239767,historic
2446513068,Osmanlı Hamam Kalıntısı,historic:ruins,40.987487,29.028564,historic
2450994883,Atatürk Anıtı,historic:memorial,40.9812845,29.0211319,historic
2454858578,Alex de Souza Heykeli,historic:memorial,40.9875075,29.0338605,historic
2454972018,2. Abdülhamit Anıtı,historic:memorial,41.0017691,29.0071158,historic
2457038208,Fazıl Hüsnü Dağlarca Heykeli,historic:memorial,40.9790323,29.0397211,historic
2457038212,Osman Hamdi Bey Heykeli,historic:memorial,40.9800644,29.0387997,historic
2459760384,Aslı Nemutlu Heykeli,historic:memorial,40.9796099,29.0392155,historic
2472730735,Binbirdirek Sarnıcı,tourism:museum,41.007606,28.9744173,museum
2517658756,St. George's Anglikan Kilisesi,historic:ruins,41.1909401,28.9623135,historic
2532890476,Vecihi Hürkuş Heykeli,historic:memorial,40.9843724,29.0392821,historic
2575834483,Filiboz Antik Bizans kasabası,historic:monument,41.1261093,28.7018667,historic
2585168071,Devlet baba türbesi,historic:tomb,41.1540243,28.6757334,historic
2832656982,Atatürk Anıtı,historic:monument,41.2464998,29.0369322,historic
2852238747,Atatürk Heykeli,historic:monument,40.9597526,29.190948,historic
2852239163,Seyit Onbaşı Heykeli,historic:monument,40.959791,29.1918835,historic
2892392880,Boğa Heykeli,historic:memorial,40.9904912,29.0292074,historic
3137358326,Yeniköy Doğayı Koruma Derneği Bahçesi,leisure:park,41.1226588,29.0617394,park
3195027800,Fransız Kültür Merkezi,tourism:museum,41.0362806,28.9841655,museum
3220979738,Manifaturaci Draper,historic:memorial,41.0148075,28.9710909,historic
3236233297,Kıztaşı,historic:memorial,41.0154411,28.9502846,historic
3254365422,Atatürk,historic:memorial,41.0150527,28.9768215,historic
3254396169,Yıldız Seramik Fabrikası,tourism:museum,41.0482849,29.0188194,museum
3254460380,Fatih Anıtı,historic:memorial,41.0155727,28.9542189,historic
3254460381,Hava Şehitleri Anıtı,historic:memorial,41.0160748,28.9526349,historic
3254468506,Adam Mickiewicz Müzesi,tourism:museum,41.0387821,28.9771474,museum
3279345565,Hamal,historic:memorial,41.0144875,28.9729077,historic
3279398393,Masumiyet Müzesi,tourism:museum,41.0308716,28.9797952,museum
3281285898,Atatürk,historic:memorial,41.0044513,28.9733107,historic
3281285899,Mithat Paşa,historic:memorial,41.0042194,28.9733768,historic
3373094254,Halı Müzesi,tourism:museum,41.0056817,28.9786693,museum
3374678647,Koca Sinan Paşa Külliyesi,historic:monument,41.0088088,28.9690637,historic
3374678648,Kara Mustafa Paşa Külliyesi,historic:monument,41.0087157,28.9677599,historic
3374681017,Atik Ali Paşa Medresesi,historic:monument,41.0084081,28.9699808,historic
3383039241,Bayram Paşa Külliyesi,historic:monument,41.0087737,28.9423415,historic
3386270532,Galatasaray Müzesi,tourism:museum,41.0334816,28.9769398,museum
3400112453,Yedi Kule Hisarı Müzesi,tourism:museum,40.9935689,28.9239308,museum
3473367184,Sevda Tepesi,historic:memorial,41.075268,29.0653173,historic
3473447794,Otağtepe Parkı,leisure:park,41.088684,29.077145,park
3580821812,Muzeum Adama Mickiewicza,tourism:museum,41.0387821,28.9771474,museum
3709006362,Dogan Kuloğlu Parkı,leisure:park,40.9950779,28.8400371,park
3811143694,Kartonpiyer Müzesi,tourism:museum,41.029581,28.9789875,museum
3842144057,Süvari Birliği Nalbanthanesi,historic:fort,41.1085896,29.0106977,historic
4031869601,Panorama Zafer Müzesi,tourism:museum,41.0607508,28.947846,museum
4124679395,Akatlar Kültür Merkezi,tourism:attraction,41.0804147,29.0276006,attraction
4291463827,Kestane Parkı,leisure:park,41.0357342,28.8498206,park
4303108295,Atatürk Anıtı,historic:monument,41.0374102,28.8831962,historic
4330819713,Atatürk,historic:monument,40.9922809,28.8453447,historic
4363666187,Zindan baba Türbesi,historic:tomb,41.0187867,28.9691768,historic
4390357493,Veliefendi Hipodrumu,tourism:attraction,40.98816,28.88538,attraction
4395594091,Rüzgar Değirmeni,tourism:attraction,40.8829671,29.0892565,attraction
4477143891,Yıldız Sarayı,tourism:attraction,41.0507108,29.0117042,attraction
4481332089,Alibeyköy Mısır Heykeli,historic:monument,41.0748485,28.9467619,historic
4504321792,Tombili Heykeli,historic:memorial,40.9889806,29.0418274,historic
4506783904,Kanuni Sultan Suleyman 1 Turbesi,historic:memorial,41.0156999,28.9644663,historic
4506862293,Hurrem Haseki (Roksolana) Turbesi,historic:memorial,41.0156683,28.9648085,historic
4511219615,Molla Gurani Turbesi,tourism:attraction,41.0110693,28.9418324,attraction
4511416267,Barış Manço & Arkadaşım Eşşek,leisure:park,40.9950715,28.5379999,park
4528008760,7 den 77 ye Barış Parkı,leisure:park,40.9948031,28.5377524,park
4549090632,Atatürk Heykeli,historic:monument,41.0482025,29.2399897,historic
4567527928,Kartallı Kazım Anıtı,historic:memorial,40.8962861,29.185872,historic
4580125160,Saat Kulesi,historic:monument,40.8741241,29.1286022,historic
4591595605,cuma pazar,tourism:attraction,41.0113817,28.9408685,attraction
4651286997,Kuzguncuk Gazhanesi,historic:ruins,41.035972,29.0350237,historic
4695996389,Gotlar Sütunu,tourism:attraction,41.0146409,28.9856774,attraction
4721808990,Kapali Carsi,tourism:museum,41.0101095,28.969963,museum
4731261022,Aya Nikola Rum Ortodoks Kilisesi,tourism:attraction,41.1206302,29.0684655,attraction
4736022622,Surp Hıripsimyans Ermeni Apostok Kilisesi,tourism:attraction,41.159388,29.0396946,attraction
4788130621,Hz Yuşa Cami,tourism:attraction,41.162287,29.08463,attraction
4792495521,Ulubatlı Hasan Parkı,leisure:park,41.001402,28.8554355,park
4814741923,Gezi Parkı Fıskiye,tourism:attraction,41.0389482,28.9869652,attraction
4816001723,Atatürk Büstü,historic:memorial,40.9849088,29.0338966,historic
4831172762,ATATÜRK Heykeli,historic:memorial,40.9656268,29.2673074,historic
4846342321,Ali Suavi Anıtı,historic:memorial,40.9896047,29.0290813,historic
4889905032,SALT Galata,tourism:museum,41.0238724,28.9734736,museum
4889905033,Bükücüler Han,historic:monument,41.0096327,29.0143802,historic
4889958232,Borusan Sanat,tourism:museum,41.0303466,28.9754498,museum
4889958234,ISTANBUL'74,tourism:museum,41.0332891,28.9795904,museum
