poi_id,name,name_en,category,category_clean,lat,lon,distance_to_center_km,nearby_count_500m,cluster_id,category_score,landmark_name_score,centrality_score,density_score,importance_score,is_park,is_historic,is_museum,is_attraction,is_religious
1908677124,Milyon Taşı,Milion,historic:monument,historic,41.0080674,28.9780181,0.035274453992151955,64,12,0.82,0.1,0.999949567706192,0.9411764705882353,0.7962789879589164,0,1,0,0,0
103953128,Sultan Ahmet Medresesi,Sultan Ahmed Madrasah,historic:building,historic,41.0065583,28.9772241,0.20750900138703773,64,12,0.82,0.1,0.9978621217685392,0.9411764705882353,0.7956527541776205,0,1,0,0,0
13385771384,II. Abdülhamid Türbesi,,historic:tomb,historic,41.0086349,28.972596,0.4894044845737539,54,12,0.82,0.35,0.9944456087046897,0.7941176470588235,0.7953630943761127,0,1,0,0,1
335374188,İstanbul Arkeoloji Müzeleri,,tourism:museum,museum,41.0116941,28.9812131,0.45460725842633437,51,12,0.85,0.35,0.9948673436554396,0.75,0.7934602030966318,0,0,1,0,0
319020883,İstanbul Arkeoloji Müzesi,Istanbul Archaeological Museum,tourism:museum,museum,41.0116433,28.9813725,0.4569499231556182,51,12,0.85,0.35,0.9948389510591436,0.75,0.7934516853177431,0,0,1,0,0
5244801844,İstanbul Cumhuriyet Eğitim Müzesi,,tourism:museum,museum,41.0049596,28.9739331,0.5199246389371006,51,12,0.85,0.35,0.9940757109506912,0.75,0.7932227132852074,0,0,1,0,0
5244807623,Türkiye Gazeteciler Cemiyeti Basın Müzesi,TGC Press Media Museum,tourism:museum,museum,41.0085619,28.9722162,0.5204365771827077,51,12,0.85,0.35,0.9940695063684672,0.75,0.7932208519105401,0,0,1,0,0
109874498,Alman Çeşmesi,German Fountain,tourism:attraction,attraction,41.0071134,28.9766752,0.18853350814454253,66,12,0.78,0.1,0.9980921006948529,0.9705882352941176,0.7910746890319853,0,0,0,1,0
103339340,Eski Şark Eserleri Müzesi,Museum Of Ancient Orient,tourism:museum,museum,41.011393,28.9804023,0.3927903775121708,50,12,0.85,0.35,0.9956165510525293,0.7352941176470589,0.7900084947275234,0,0,1,0,0
4742207,Marmara Üniversitesi Cumhuriyet Müzesi,Marmara University Republic Museum,tourism:museum,museum,41.0048417,28.97413,0.5175212864968767,50,12,0.85,0.35,0.9941048390690854,0.7352941176470589,0.7895549811324903,0,0,1,0,0
