xid,query_area,name,kinds,wikipedia,wikidata,url,address,preview_source
N7215645385,"Sultanahmet, Istanbul",The Blue Mosque,"religion,mosques,interesting_places",https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,Q80541,https://www.geziyerler.com/sultan-ahmet-camii;http://www.bluemosque.co/,"{'town': 'Fatih', 'house': 'Sultanahmet Camii', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr', 'house_number': '7'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg
W103953125,"Sultanahmet, Istanbul",Tomb of Sultan Ahmet,"religion,mosques,interesting_places",https://en.wikipedia.org/wiki/Sultan%20Ahmed%20Mosque,Q80541,http://www.bluemosque.co/,"{'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Atmeydanı Caddesi', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg/400px-Sultan_Ahmed_Mosque_Istanbul_Turkey_retouched.jpg
N415157636,"Sultanahmet, Istanbul",Serpent Column,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",https://en.wikipedia.org/wiki/Serpent%20Column,Q588892,,"{'city': 'Binbirdirek Mahallesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34122', 'pedestrian': 'Sultanahmet Meydanı', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Snake_column_Hippodrome_Constantinople_2007.jpg/199px-Snake_column_Hippodrome_Constantinople_2007.jpg
N1768294290,"Sultanahmet, Istanbul",Great Palace Mosaic Museum,"national_museums,cultural,museums,interesting_places",https://en.wikipedia.org/wiki/Great%20Palace%20Mosaic%20Museum,Q2719230,https://muze.gen.tr/,"{'road': 'Torun Sokağı', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Mosaic_museum_Istanbul_2007_021.jpg/400px-Mosaic_museum_Istanbul_2007_021.jpg
N3236233297,"Eminonu, Istanbul",Column of Marcian,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments",https://en.wikipedia.org/wiki/Column%20of%20Marcian,Q285236,,"{'city': 'İskenderpaşa Mahallesi', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34080', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/ColumnOfMarcianInIstanbulApril2007.jpg/300px-ColumnOfMarcianInIstanbulApril2007.jpg
Q3082387,"Sultanahmet, Istanbul",Church of the Virgin of the Pharos,"religion,churches,interesting_places,other_churches",https://en.wikipedia.org/wiki/Church%20of%20the%20Virgin%20of%20the%20Pharos,Q3082387,,"{'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Constantinople_imperial_district.png/353px-Constantinople_imperial_district.png
N4988111427,"Sultanahmet, Istanbul",Ruins of Bucoleon Palace,"palaces,architecture,historic_architecture,interesting_places",https://en.wikipedia.org/wiki/Boukoleon%20Palace,Q1003322,,"{'road': 'Kapıağası Hisarı Sokak', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'suburb': 'Sultan Ahmet Mahallesi', 'country': 'Türkiye', 'postcode': '34122', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Bucoleon_March_2008.JPG/400px-Bucoleon_March_2008.JPG
N4977947521,"Eminonu, Istanbul",Church of St. Polyeuktos,"religion,architecture,historic_architecture,fortifications,historic,churches,interesting_places,destroyed_objects,castles,other_churches",https://en.wikipedia.org/wiki/Church%20of%20St.%20Polyeuctus,Q1578614,,"{'city': 'İskenderpaşa Mahallesi', 'road': 'Kavalalı Sokak', 'town': 'Fatih', 'state': 'Marmara Bölgesi', 'country': 'Türkiye', 'postcode': '34080', 'country_code': 'tr'}",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Polieuktos_Kilisesi.JPG/400px-Polieuktos_Kilisesi.JPG
