model,feature,importance
XGBoost,temp_avg,0.59106386
XGBoost,temp_min,0.2902652
XGBoost,trend_demand,0.073752925
XGBoost,temp_max,0.029084327
XGBoost,precipitation,0.007773606
XGBoost,season_spring,0.0035121846
XGBoost,week_of_year,0.0020210384
XGBoost,season_summer,0.0015046652
XGBoost,month,0.0007083646
XGBoost,season_winter,0.00016169455
XGBoost,is_holiday,0.0001520569
XGBoost,weekofyear,0.0
